vd_salePhone,vd_serviceCode,vd_dealerName,vd_longitude,vd_address,vd_latitude,vc_name,vd_url,vd_dealerCode,vd_dealerType,vd_city,vd_province,vd_postCode,vd_fax,vp_name,vd_id
0760-88552622,,中山市创世纪汽车有限公司,113.359654,中山市西区彩虹大道东（埃索加油站侧）,22.553139,中山,,S744006,1,36,5,528401,,G 广东,132
0760-22448888,,中山市众腾汽车有限公司,113.415603,中山市东区长江路363号（长城加油站对面）,22.559119,中山,,S744053,1,36,5,528403,,G 广东,664
0760-89969933,,中山庞大一众汽车销售服务有限公司,113.460683,中山市火炬开发区大岭工业区20号之一2号商铺  ,22.536634,中山,,S744076,1,36,5,,,G 广东,979
0759-3272788,,湛江市正日汽车贸易有限公司,110.387947,湛江市人民大道北38号,21.264866,湛江,,S744042,1,37,5,524043,,G 广东,368
0755-83052273/0755-28696900,,深圳市奇建贸易有限公司,114.038352,深圳市福田区红荔西路香蜜湖联合华鹏专业市场内,22.547379,深圳,,S944012,1,38,5,518048,,G 广东,128
0755-25117666,,深圳市安进汽车贸易有限公司,114.149583,深圳市罗湖区新秀路东益汽车交易广场B15号,22.552711,深圳,,S744021,1,38,5,518002,,G 广东,138
0755-27495000,,深圳市昊天林实业有限公司,113.859793,深圳市宝安107国道西乡段洲石立交西北侧,22.623908,深圳,,S744023,1,38,5,518032/518102,,G 广东,262
0755-86035166,,深圳市南方腾龙汽车销售服务有限公司,113.91199,深圳市南山区南头街道宝安大道以北双界河以东嘉进隆前海汽车城A02-2,22.553886,深圳,,S744051,1,38,5,518052,,G 广东,507
0755-28696900,,深圳市北奇建贸易有限公司,114.293598,深圳市龙岗区龙岗街道龙东社区爱南路99号,22.714417,深圳,,S744063,1,38,5,518000,,G 广东,726
0755-29001111,,深圳市清水河奇建贸易有限公司,114.118059,深圳市罗湖区清水河三路18号深业车城博兴大厦BX-101号,22.58461,深圳,,S744064,1,38,5,,,G 广东,887
0755-81701888,,深圳市昊天林安琪汽车有限公司,114.099756,深圳市龙华新区观澜办事处新田村（环观南路与观平路交界） ,22.707552,深圳,,S744075,1,38,5,,,G 广东,966
13428673616,,深圳市奇建贸易有限公司龙华分公司,114.061253,深圳市龙华新区民治民康路1号华南物流中心10号仓一楼10号,22.621877,深圳,,7584407A1,4,38,5,518131,,G 广东,1139
020-86328882-801/020-86328882-802,,广东君乐汽车贸易有限公司,113.267498,广州市白云区机场路888号（新市广物汽车市场内）,23.190607,广州,,S944002,1,39,5,510410,,G 广东,127
020-82168618,,广州市锦众汽车贸易有限公司,113.419203,广州市天河区黄村奥体路53号,23.141369,广州,,S744019,1,39,5,530630,,G 广东,137
020-37290396 ,,广州市梅花园汽车销售服务有限公司,113.325719,广州市广州大道北梅花园汽车修理厂内一汽-大众,23.185046,广州,,S744015,1,39,5,510510,,G 广东,260
020-34820699,,广东物通凯骏汽车有限公司,113.343744,广州市迎宾路183号物通汽车城,23.020868,广州,,S744046,1,39,5,511430,,G 广东,411
020-34615201,,广州市健稳汽车贸易有限公司,113.400502,广州市番禺区桥南街蚬涌村市南公路西侧,22.925650,广州,,S744048,1,39,5,511483,,G 广东,474
020-28806961,,广州市大吉汽车销售服务有限公司,113.311228,广州市白云区白云大道北1395号,23.238085,广州,,S744049,1,39,5,510440,,G 广东,489
020-28615500,,广州市南菱万众汽车维修服务有限公司,113.255972,广州市花都区新华街镜湖大道10号自编之二房,23.375107,广州,,S744056,1,39,5,510800,,G 广东,710
020-31003688,,广州庞大一众汽车销售服务有限公司,113.307119,广州市番禹区石壁街创源路20号104,22.96783,广州,,S744068,1,39,5,,,G 广东,874
020-62315088,,广州市安捷鑫众汽车有限公司,113.464177,广州市萝岗区科丰路31号G10栋101,23.153516,广州,,S744077,1,39,5,,,G 广东,1002
020-26232888,,广州庞大兴众汽车销售有限公司,113.796302,广州市荔城区增城大道三联路段（金马香颂居旁）,23.285348,广州,,S244002,1,39,5,,,G 广东,1049
0757-86367111,,佛山市合诚汽车销售服务有限公司,113.159425,广东省佛山市南海区桂澜路石石肯路桂城D4街区,23.003640,佛山,,S744031,1,40,5,528200,,G 广东,141
0757-22380030,,佛山市顺德区世锦汽车贸易有限公司,113.242381,佛山市顺德区大良街道办事处新滘居委会23号,22.856412,佛山,,S744050,1,40,5,528300,,G 广东,142
0757-86368988,,佛山市南海区拓华汽车贸易有限公司,113.146517,佛山市南海区桂城叠滘大道G12号地,23.042977,佛山,,S744039,1,40,5,528200,,G 广东,266
0757-66630888/0757-66630880,,佛山市英丰汽车销售服务有限公司,113.101095,佛山市五峰四路与东鄱路交汇处,23.033114,佛山,,S744058,1,40,5,528000,,G 广东,654
