id,image,fullname,name,code,address,servicetel,selltel,lon,lat,openweb,onlineser,city,published,subdomain,lang,website
33,/images/dealers/overlist_pic/33.jpg,沈阳庞大华业汽车销售服务有限公司 4S店,DS沈阳庞大华业经销商,CCN04MT,辽宁省沈阳市经济技术开发区沈辽西路183号,024-31963156,024-31963166,123.228480,41.729657,0,1,2101,1,,zh,
35,/images/dealers/overlist_pic/35.jpg,上海越也新天地汽车销售服务有限公司 4S店,DS上海越也新天地经销商,CCN053T,上海市闵行区虹梅南路2599号1幢1层E座,021-34732388,021-34735858,121.440256,31.101344,0,1,3101,1,,zh,
36,/images/dealers/overlist_pic/36.jpg,上海东昌中环汽车销售服务有限公司 4S店,DS上海东昌中环经销商,CCN05ET,上海市浦东新区康杉路128号（近御北路）,021-68932030,021-68933100,121.559290,31.157005,0,1,3101,1,,zh,
38,/images/dealers/about_us_pic/38.jpg,天津市中进长旺汽车销售有限公司 4S店,DS天津市中进长旺经销商,CCN03DT,天津市空港经济区环河西路8号增5号,022-58099201,022-58099299,117.368841,39.164149,1,1,1201,1,zjcw,zh,/web/cn/dealers/zjcw
40,/images/dealers/overlist_pic/40.jpg,金华金菱汽车贸易有限公司 4S店,DS金华金菱经销商,CCN060T,浙江省金华市金东新区李渔东路2166号,0579-82180011,0579-82177228,119.716769,29.103666,0,1,3307,1,,zh,
75,/images/dealers/about_us_pic/11.jpg,南宁市恒骅腾汽车销售服务有限公司,DS南宁白马经销商,CCN06MT,南宁市白沙大道100-1号,0771-3911268,0771-3911668,108.295328,22.783134,0,1,4501,1,,zh,
177,/images/dealers/about_us_pic/182.jpg,大连金跃汽车销售服务有限公司 4S店,DS大连金跃经销商,CCN05GT,大连市高新园区旅顺南路（黄泥川）高新汽车城浩川园7号,0411-39011568,0411-39011555,121.441548,38.852170,1,1,2102,1,dljy,zh,/web/cn/dealers/dljy
179,/images/dealers/about_us_pic/179.jpg,潍坊庞大华业汽车销售服务有限公司 4S店,DS潍坊庞大华业经销商,CCN071T,潍坊市坊子区十三公里路西庞大汽车园,0536-2283111,0536-2282111,119.139026,36.607078,0,1,3707,1,,zh,
181,/images/dealers/about_us_pic/181.jpg,济南龙大友汽车销售有限公司 4S店,DS济南大友旗舰店,CCN079T,济南市槐荫区经十西路318号（宋庄立交东首路南）,0531-87966555,0531-83285555 ,116.894157,36.655136,0,1,3701,1,,zh,
188,/images/dealers/dealers_new140211/JNJAD.jpg,济宁市金安达汽车销售有限公司,DS济宁金安达经销商,CCN070T,济宁市高新区黄屯镇孙氏店市车管所对面,0537-3719222,0537-3719333,116.702871,35.458928,0,1,3708,1,,zh,
189,/images/dealers/dealers_new140211/GZGW-4S.jpg,广州广物德远汽车销售服务有限公司 4S店,DS广州广物德远经销商,CCN041T,广州市白云区白云大道北772号（永泰立交东侧金华安酒家隔壁）,020-81311006,020-37883361,113.296776,23.219298,0,1,4401,1,,zh,
192,/images/dealers/dealers_new140211/HDWH_4S.jpg,邯郸市威信汽车销售服务有限公司 4S店,DS邯郸威信经销商,CCN076T,河北省邯郸市复兴区铁西北大街469号,0310-4184000,0310-4184111,114.475048,36.635285,0,1,1304,1,,zh,
194,/images/dealers/dealers_new140211/ZJHB_4S.jpg,镇江汇宝汽车销售有限公司 4S店,DS镇江汇宝经销商,CCN074T,镇江市丁卯新区镇江汽车城4S园武将路5号,0511-80860607,0511-80890999,119.530343,32.184190,0,1,3211,1,,zh,
196,/images/dealers/ccoq-4S.png,长春市欧骐汽车销售服务有限公司 4S店,DS长春欧骐经销商,CCN04KT,长春市净月开发区生态大街7666号,0431-81892555,0431-84833333,125.385570,43.777734,0,1,2201,1,,zh,
214,/images/dealers/dealers_new140211/xmds_CF_1.jpg,厦门华骏迪尚汽车贸易有限公司,DS厦门迪尚经销商,CCN07GT,厦门市湖里区湖里大道41-43号联泰大厦一层西侧,0592-5736776,0592-5625068 0592-5625658,118.111411,24.517941,0,1,3502,1,,zh,
217,/images/dealers/dealers_new140211/tzhy_CF_1.jpg,泰州市浩誉汽车销售服务有限公司 城市展厅,DS泰州浩誉城市店经销商,CCN07HT,"泰州市海陵区国际汽车城17号楼
",,0523-86131616,119.910080,32.426440,0,1,3212,1,,zh,
