category,name,brand,id,address,district,city,province,brand-info
4S店,广本广汽航天店,本田,100030227,北京市朝阳区北四环东路9号（宜家旁边）,朝阳区,北京市,北京,广汽本田
4S店,广本日银店,本田,100008204,北京市朝阳区德外花虎沟26号,朝阳区,北京市,北京,广汽本田
4S店,北京方庄本田店,本田,100035018,北京市丰台区蒲黄榆路48号,丰台区,北京市,北京,广汽本田
4S店,北京鑫伯龙本田,本田,100021782,北京市丰台区西局西街298号,丰台区,北京市,北京,东风本田
4S店,广本长怡草桥店,本田,100014611,北京市丰台区南三环西路31号（300路草桥总站...,丰台区,北京市,北京,广汽本田
4S店,广本中汽店,本田,100017167,北京市丰台区张仪村甲1号,丰台区,北京市,北京,广汽本田
4S店,广本百旺店,本田,100016281,北京市海淀区西北旺镇百旺绿谷汽车园F1地块1...,海淀区,北京市,北京,广汽本田
4S店,北京华通伟业,本田,100005721,北京市海淀区杏石口路15号,海淀区,北京市,北京,广汽本田
4S店,典盛远大丹迪店,本田,100126133,北京市海淀区学院路甲5号,海淀区,北京市,北京,东风本田
4S店,北京嘉华京通,本田,100034182,北京市通州区京津公路土桥城铁站向东1000米...,通州,北京市,北京,东风本田
4S店,广本通州店,本田,100029752,通州区梨园镇通马路大稿村工业园（果园环岛...,通州,北京市,北京,广汽本田
4S店,北京博诚宏达,本田,100021778,北京市昌平区东三旗新北亚汽车交易市场院内,昌平区,北京市,北京,东风本田
4S店,广本回龙观店,本田,100019094,昌平区回龙观欧德宝国际汽车城,昌平区,北京市,北京,广汽本田
4S店,广本亦庄,本田,100015442,北京市北京经济技术开发区东环北路北一号,大兴区,北京市,北京,广汽本田
4S店,北京运通博泰,本田,50005353,北京经济技术开发区同济北路2号南厅,大兴区,北京市,北京,东风本田
4S店,北京典盛东本,本田,100021779,北京市海淀区学院路甲5号（圣熙8号购物中心...,东城区,北京市,北京,东风本田
4S店,北京瑞鼎东本,本田,100017766,西长安街延长线古城地铁口,石景山区,北京市,北京,东风本田
4S店,北京嘉瑞雅,标致,50001511,北京市朝阳区东南四环十八里店北桥西200米路...,朝阳区,北京市,北京,东风标致
4S店,博瑞祥致标致,标致,100016730,北京市朝阳区花虎沟2号博瑞汽车园区内（北...,朝阳区,北京市,北京,东风标致
4S店,标龙京津,标致,100007425,东四环朝阳公园桥东2500米东方基业汽车城5号...,朝阳区,北京市,北京,东风标致
4S店,北京鑫毅宏达,标致,100080051,旧宫镇隆泰路南区23号,大兴区,北京市,北京,东风标致
4S店,天达盛捷,标致,100126308,北京市大兴区西红门镇金盛大街顶佳文化创业...,大兴区,北京市,北京,东风标致
4S店,东风标致元丰正通,标致,100129376,北京市海淀区阜石路61号,海淀区,北京市,北京,东风标致
4S店,金泰亚市4S店,标致,100030057,北京市昌平区北七家新亚运村汽车交易市场东...,昌平区,北京市,北京,东风标致
4S店,北京怡合瑞狮,标致,100066098,北京市房山区阎村镇炒米店村北京周路南侧50...,房山区,北京市,北京,东风标致
4S店,宏和通达,别克,100049044,朝阳区王四营乡王四营村盛华东路809号,朝阳区,北京市,北京,上汽通用别克
4S店,北京勤和别克国贸店,别克,100029837,北京市朝阳区百子湾路18号,朝阳区,北京市,北京,上汽通用别克
4S店,北京联通昊普,别克,100015308,北京市朝阳区北苑路36号,朝阳区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京联通鼎盛,别克,100015510,北京市朝阳区来广营西路甲8号（北五环广顺...,朝阳区,北京市,北京,"进口别克,上汽通用别克"
4S店,勤和祥龙别克店,别克,100020456,北京市朝阳区朝阳体育中心西路5号,朝阳区,北京市,北京,"进口别克,上汽通用别克"
4S店,联通成功汽车,别克,100014725,北京市大兴区西红门北兴路双星桥向西200米路...,东城区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京达世行别克,别克,100014678,北京市东城区东直门北小街2号楼首层  售后地...,东城区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京通合别克,别克,100116573,北京市海淀区巨山路99号,东城区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京上汽安吉,别克,50001352,北京市海淀区永丰路199号（百旺绿谷汽车园）,海淀区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京达世行世纪,别克,100046725,北京市海淀区闵庄路（360路公共汽车闵庄路站...,海淀区,北京市,北京,"进口别克,上汽通用别克"
4S店,加达永通,别克,100008233,北京市石景山区黄庄43号,丰台区,北京市,北京,"进口别克,上汽通用别克"
4S店,北京首创森美,别克,100005808,北京市丰台区南四环中路142号公益西桥东南角,丰台区,北京市,北京,"进口别克,上汽通用别克"
4S店,新兴达智图别克,别克,100101546,北京昌平区西关环岛向西2公里,昌平区,北京市,北京,上汽通用别克
4S店,北京首创实利,别克,50000518,北京市昌平区回龙观欧德宝汽车城内,昌平区,北京市,北京,上汽通用别克
4S店,北京运通博雅,别克,100003665,北京经济技术开发区东环北路乙1号,大兴区,北京市,北京,"进口别克,上汽通用别克"
4S店,鑫万维通达,别克,100087929,北京市平谷区东高村镇东高村兴业路39号,平谷区,北京市,北京,"进口别克,上汽通用别克"
4S店,勤和祥通别克,别克,100043258,北京市通州区九棵树西路11号,通州,北京市,北京,上汽通用别克
4S店,盛世新景,比亚迪,100119359,北京朝阳区光华路9号楼1层124室-126室（地铁站...,朝阳区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,北京盛世路骐汽车,比亚迪,100107713,北京市朝阳区东四环南路D座56号101室,朝阳区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,北京环耀汽车,比亚迪,100028786,北京市朝阳区来广营乡朝来农艺园西门,朝阳区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,北京欣太,比亚迪,100122017,北京市朝阳区王四营乡孛罗营村东,朝阳区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,鑫敏恒朝阳店,比亚迪,100116898,北京市朝阳区朝阳北路45号,朝阳区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,北京福铃丰瑞,比亚迪,100019020,北京市丰台区郭公庄608号北院,丰台区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,盛迪新能源,比亚迪,100123273,北京市丰台区大红门桥东53号J1-261,丰台区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,北京首资环耀,比亚迪,100106013,北京市丰台区永外大红门西马场甲14号9号,丰台区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,鑫敏恒丰台店,比亚迪,100120636,北京市丰台区西三环丰益桥汽车基地A1-1005,丰台区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,鑫敏恒瑞鑫4S店,比亚迪,100050381,北京市海淀区京藏高速西三旗桥南300米路西,海淀区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,北京军鹏伟业,比亚迪,1001009,北京市海淀区常润路1号院,海淀区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,鹏天奥比亚迪,比亚迪,100028716,北京市海淀区田村路锦绣大地往西500米,海淀区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,易能环耀中关村,比亚迪,100107953,北京市海淀区中关村南大街甲10号银海大厦1层...,海淀区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,北京鑫敏恒汽车,比亚迪,100019022,北京市大兴区西红门镇宏旭路2号，北京市海...,大兴区,北京市,北京,"比亚迪,比亚迪新能源"
4S店,北方瑞鹏,比亚迪,100115484,北京市通州区张家湾镇土桥村西(北院)10幢,通州,北京市,北京,"比亚迪,比亚迪新能源"
4S店,北京天通利华,比亚迪,100039027,北京市昌平区北七家镇七星路燕丹汽配城北,昌平区,北京市,北京,"比亚迪,比亚迪新能源"
