坑ID,Name,DealersID,AddressArea,Province,City,Area,Address,BaiduMapLng,BaiduMapLat,Telphone,BusinessHours,Sites,SiteID,Brand,CanTestDrive,cars,ShopSaleTel,ShopID
942,保定五洲汽车销售服务有限公司,保定五洲汽车销售服务有限公司,,河北省,保定市,新市区,保定市乐凯北大街1869号,115.4561005,38.92097092,,8:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0312-3195088,13060
943,保定五洲汽车销售服务有限公司长城北大街分公司,保定五洲汽车销售服务有限公司长城北大街分公司,,河北省,保定市,北市区,河北省保定市北市区长城北大街2999号,115.5660019,38.92464066,,8:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0312-3195088,13061
944,保定五洲汽车销售服务有限公司长城大街分公司,保定五洲汽车销售服务有限公司长城大街分公司,,河北省,保定市,南市区,河北省保定市长城南大街1568号,115.5114975,38.83493042,,8:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0312-3195088,13061
832,北京泊士联汽车销售中心,北京泊士联汽车销售中心,,北京市,北京市,朝阳区,北京市朝阳区豆各庄乡黄厂村甲399号1幢,116.5617981,39.86059189,,08:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",010-87391622/87391722,11012
833,北京泊士联汽车销售中心肖村店,北京泊士联汽车销售中心肖村店,,北京市,北京市,朝阳区,北京市朝阳区南四环东路95号,116.4403,39.83921814,,8:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",010-87681160\87680810,11010
834,北京泊士联汽车销售中心亚市店,北京泊士联汽车销售中心亚市店,,北京市,北京市,昌平区,北京市昌平区新亚市南门向东200米,116.2164993,40.22172928,,08:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",010-61750559/61755089,11011
837,北京长城赛弗汽车销售有限公司,北京长城赛弗汽车销售有限公司,,北京市,北京市,丰台区,北京市丰台区大瓦窑路小郭庄28号,116.2356033,39.87192154,,8:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",010-83695735/83695865,11010
835,北京航天瑞晨汽车销售服务有限责任公司,北京航天瑞晨汽车销售服务有限责任公司,,北京市,北京市,海淀区,北京市海淀区巨山路99号-1,116.2412033,39.95289993,,8:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",010-62720260,11011
836,北京宁北汽车销售服务有限公司,北京宁北汽车销售服务有限公司,,北京市,北京市,昌平区,北京市昌平区城北街道高速路西西关槐树巷南侧1号,116.2285004,40.22291183,,8:30-17:30,0,0,长城%2c哈弗,1,,010-89789558,11012
1193,滨州惠骋汽车销售服务有限公司,滨州惠骋汽车销售服务有限公司,,山东省,滨州市,邹平县,山东省滨州市邹平县黛溪办事处马庄村,117.7372971,36.90843964,,9:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0543-4618008,37160
1194,滨州顺骋汽车贸易有限公司,滨州顺骋汽车贸易有限公司,,山东省,滨州市,滨城区,滨州市滨城区渤海五路1111号,118.0045013,37.4534111,,8:00-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0543-3228000,37160
1195,滨州悦骋汽车销售服务有限公司,滨州悦骋汽车销售服务有限公司,,山东省,滨州市,滨城区,滨州经济开发区渤海二十四路以西长江二路以北,116.4786987,40.41867065,,8:00-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0543-3061000,37160
812,亳州市安腾汽车销售服务有限公司,亳州市安腾汽车销售服务有限公司,,安徽省,亳州市,谯城区,安徽省亳州市谯城区105国道与杜仲西路交叉口东南角,115.8127975,33.78292084,,8:00-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0558-5796222/5767888,34160
1399,苍南华盛汽车销售服务有限公司,苍南华盛汽车销售服务有限公司,,浙江省,温州市,苍南县,浙江省苍南县火车站前方%2c通福路与车站大道红绿灯交叉口(通福路往温州100米处),120.406601,27.52363014,,8:00-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0577-59888887,33031
1183,察右前旗金海龙工贸有限公司,察右前旗金海龙工贸有限公司,,内蒙古自治区,乌兰察布市,集宁区,内蒙古自治区乌兰察布市集宁区208国道南2公里处（新车管所北侧）,113.1244965,40.95571899,,8:30-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0474-3608168,15090
1431,昌吉卓辉祥汽车销售服务有限公司,昌吉卓辉祥汽车销售服务有限公司,新疆维吾尔自治区%3a昌吉回族自治州%3a3222,新疆维吾尔自治区,昌吉回族自治州,,昌吉市中山路夹滩村汽车城内12栋,87.25233,44.0368,,10:00-19:30,,0,长城%2c哈弗,0,"411,522,44,125,126",0994-2525666,65230
1433,长沙长盛信和汽车销售服务有限公司,安徽新动力汽车服务有限公司,湖南省%3a长沙市%3a1884,湖南省,长沙市,,湖南省长沙县湘龙街道博展路中南汽车世界A09-2,113.0698,28.23866,,8:30-17:30,,0,长城%2c哈弗,0,,0731-84878088,
